year_month,mean_negativity_combined,mean_negativity_eng,mean_negativity_tha,mean_sentiment_combined,mean_sentiment_eng,mean_sentiment_tha,n_articles_combined,n_articles_eng,n_articles_tha,gasohol95_retail_bkk,diesel_retail_bkk,gasohol95_wholesale,diesel_wholesale,epu_us,epu_china,epu_global,gpr_global,gpr_global_acts,gpr_thailand,gpr_idn,gpr_mys,gpr_vnm,gpr_phl
2018-09,0.3823170731707316,0.3385245901639344,0.5095238095238095,-0.0914634146341463,-0.0286885245901639,-0.2738095238095238,82.0,61.0,21.0,30.76,29.8,28.51704387,28.0794742,121.0,408.0,67.36266666666667,75.05390930175781,51.163917541503906,0.029399411752820015,0.00839983206242323,0.01679966412484646,0.00839983206242323,0.01679966412484646
2018-10,0.4080459770114942,0.4313432835820895,0.3299999999999999,-0.082183908045977,-0.1313432835820895,0.0824999999999999,87.0,67.0,20.0,30.81,29.89,28.42295246,28.16757045,136.0,561.0,90.25129032258064,92.0164794921875,61.150474548339844,0.06178942322731018,0.053550831973552704,0.03295435756444931,0.008238589391112328,0.06178942322731018
2018-11,0.3426315789473684,0.3657142857142857,0.278,0.0226315789473684,-0.07,0.282,95.0,70.0,25.0,28.99,29.14,26.59163347,26.8608014,165.0,469.0,79.472,80.40758514404297,47.40216827392578,0.004238545428961515,0.012715635821223259,0.00847709085792303,0.01695418171584606,0.03390836343169212
2018-12,0.3588888888888889,0.4129166666666666,0.2148148148148148,-0.0179797979797979,-0.0684722222222222,0.1166666666666666,99.0,72.0,27.0,27.11,26.49,24.63201542,23.94690873,227.0,658.0,127.53290322580645,90.607666015625,66.24092864990234,0.009387467987835407,0.004693733993917704,0.004693733993917704,0.014081201516091824,0.014081201516091824
2019-01,0.5097029702970297,0.5274698795180723,0.4277777777777778,-0.2059405940594059,-0.2397590361445783,-0.0499999999999999,101.0,83.0,18.0,26.3,25.55,23.97641603,23.51419872,284.0,536.0,146.58741935483872,87.42410278320312,55.7335090637207,0.038249045610427856,0.038249045610427856,0.01699957437813282,0.05099872499704361,0.025499362498521805
2019-02,0.3527450980392157,0.3497619047619048,0.3666666666666666,-0.0534313725490196,-0.0297619047619047,-0.1638888888888889,102.0,84.0,18.0,26.96,26.5,24.61978248,24.43927887,124.0,654.0,82.65035714285715,96.80016326904297,57.51169967651367,0.028325937688350677,0.023604948073625565,0.004720989614725113,0.1085827574133873,0.01888395845890045
2019-03,0.3051282051282051,0.3242647058823529,0.175,0.0102564102564102,-0.0014705882352941,0.09,78.0,68.0,10.0,28.52,27.39,26.50615459,25.19640722,181.0,528.0,94.65645161290323,82.32829284667969,66.64120483398438,0.008342371322214603,0.033369485288858414,0.02919829823076725,0.10010845214128494,0.0583965964615345
2019-04,0.3468085106382978,0.3567164179104477,0.3222222222222222,-0.051595744680851,-0.1,0.0685185185185185,94.0,67.0,27.0,29.57,27.61,27.81395842,25.72284264,110.0,471.0,78.739,79.25344848632812,57.51552963256836,0.008953353390097618,0.04029008746147156,0.008953353390097618,0.058196794241666794,0.04476676508784294
2019-05,0.3777777777777777,0.378169014084507,0.3763157894736842,-0.0685555555555555,-0.0988732394366197,0.0447368421052631,90.0,71.0,19.0,29.39,27.92,27.17867362,25.8096831,161.0,658.0,94.45225806451613,106.4719009399414,64.66343688964844,0.05587552487850189,0.15903034806251526,0.05587552487850189,0.08166423439979553,0.07306799292564392
2019-06,0.3629032258064516,0.4088235294117647,0.238,0.0129032258064516,-0.0676470588235294,0.2319999999999999,93.0,68.0,25.0,27.49,26.23,25.0273199,24.12236967,208.0,765.0,137.37066666666666,106.58845520019531,53.42063903808594,0.06040210649371147,0.038829926401376724,0.08197428286075592,0.043144360184669495,0.06903097778558731
2019-07,0.3827472527472527,0.4128947368421052,0.23,-0.0865934065934066,-0.1247368421052631,0.1066666666666666,91.0,76.0,15.0,28.04,26.61,25.95711043,24.59606754,208.0,506.0,94.79645161290323,93.52125549316406,47.41885757446289,0.03981948643922806,0.030970711261034012,0.022121936082839966,0.07521457970142365,0.03981948643922806
2019-08,0.3274774774774774,0.3452127659574468,0.2294117647058823,-0.0364864864864864,-0.0707446808510638,0.1529411764705882,111.0,94.0,17.0,27.52,25.92,25.30678248,24.0080319,283.0,755.0,155.2332258064516,103.4044189453125,70.09744262695312,0.10618529468774796,0.008848774246871471,0.004424387123435736,0.02654632367193699,0.048668257892131805
2019-09,0.4274509803921568,0.4717948717948718,0.2833333333333333,-0.1200980392156862,-0.1948717948717948,0.1229166666666666,102.0,78.0,24.0,27.54,25.98,25.50397155,24.15295485,187.0,677.0,118.307,90.36798858642578,67.81023406982422,0.0,0.008857788518071175,0.022144470363855362,0.05757562443614006,0.008857788518071175
2019-10,0.3489516129032258,0.3846753246753246,0.2904255319148936,-0.0408870967741935,-0.1294805194805194,0.1042553191489361,124.0,77.0,47.0,26.94,25.68,24.79716802,23.78266877,160.0,785.0,98.00290322580646,97.83673095703125,69.96658325195312,0.0,0.042041536420583725,0.004204153548926115,0.029429076239466667,0.042041536420583725
2019-11,0.382072072072072,0.3728395061728395,0.407,-0.1045045045045044,-0.1166666666666666,-0.0716666666666666,111.0,81.0,30.0,26.95,25.72,25.00085894,23.686636,170.0,599.0,81.042,73.07838439941406,53.03253173828125,0.022007042542099953,0.0,0.0,0.035211268812417984,0.022007042542099953
2019-12,0.2939516129032258,0.3038888888888889,0.2676470588235294,0.0387096774193548,0.0044444444444444,0.1294117647058823,124.0,90.0,34.0,26.85,26.4,24.69454105,24.59642008,191.0,767.0,121.3074193548387,74.27989196777344,63.33135223388672,0.043685078620910645,0.009707795456051826,0.02912338636815548,0.04853897541761398,0.01456169318407774
2020-01,0.4565254237288135,0.4940449438202247,0.3413793103448276,-0.1100847457627118,-0.1953932584269663,0.1517241379310345,118.0,89.0,29.0,26.38,27.33,24.13784127,25.13479227,165.0,620.0,110.07451612903226,138.4209442138672,81.65093994140625,0.030884623527526855,0.03970880061388016,0.04412089288234711,0.05294506996870041,0.035296712070703506
2020-02,0.341869918699187,0.3761904761904762,0.2679487179487179,-0.0178861788617886,-0.1398809523809523,0.2448717948717949,123.0,84.0,39.0,25.78,25.91,23.60163554,23.82298864,216.0,610.0,113.26,75.95555877685547,56.68605041503906,0.04458314925432205,0.031208204105496407,0.04458314925432205,0.022291574627161026,0.06241640821099281
2020-03,0.520752688172043,0.6026666666666667,0.1794444444444444,-0.2527956989247312,-0.4088,0.3972222222222222,93.0,75.0,18.0,21.83,22.9,18.66869639,20.84816813,426.0,643.0,380.3896774193548,81.54003143310547,62.90298843383789,0.029929878190159798,0.029929878190159798,0.02137848548591137,0.04275697097182274,0.04275697097182274
2020-04,0.4790322580645161,0.4986842105263158,0.3911764705882353,-0.1808602150537634,-0.2114473684210526,-0.0441176470588235,93.0,76.0,17.0,17.57,19.43,14.91291489,17.32608247,401.0,672.0,555.3246666666666,69.33940124511719,47.59123229980469,0.02321154996752739,0.04642309993505478,0.013926929794251919,0.027853859588503838,0.055707719177007675
2020-05,0.4264423076923077,0.4244047619047619,0.435,-0.1825961538461538,-0.1838095238095238,-0.1775,104.0,84.0,20.0,19.15,19.14,16.99661205,17.48590873,504.0,766.0,484.18225806451613,68.50721740722656,42.29555892944336,0.03604902699589729,0.027036769315600395,0.02253064140677452,0.04055515676736832,0.009012256748974323
2020-06,0.3876237623762376,0.388125,0.3857142857142857,-0.0772277227722772,-0.103375,0.0223809523809523,101.0,80.0,21.0,21.34666667,21.65,18.98486662,19.42864,300.0,848.0,313.916,71.22785949707031,49.760887145996094,0.027685493230819702,0.018456995487213135,0.03691399097442627,0.04152823984622955,0.05075673758983612
2020-07,0.3635514018691588,0.404320987654321,0.2365384615384615,-0.1670093457943925,-0.2255555555555555,0.0153846153846153,107.0,81.0,26.0,21.65,22.32,19.17785044,20.00527487,428.0,788.0,359.45258064516133,66.47328186035156,36.25208282470703,0.01350195799022913,0.02700391598045826,0.02700391598045826,0.01800261065363884,0.06300913542509079
2020-08,0.3872093023255814,0.3753846153846153,0.4238095238095238,-0.1293023255813953,-0.1226153846153846,-0.15,86.0,65.0,21.0,21.75,22.15,19.3989463,19.85982274,263.0,771.0,298.5867741935484,65.46604919433594,28.454627990722656,0.06678836792707443,0.026715347543358803,0.02226278930902481,0.004452557768672705,0.02226278930902481
2020-09,0.3180952380952381,0.29625,0.3879999999999999,-0.0461904761904761,-0.05875,-0.0059999999999999,105.0,80.0,25.0,21.63,21.35,19.22084139,18.9835103,253.0,685.0,247.73666666666668,80.37738037109375,49.51808166503906,0.02240544930100441,0.01344326976686716,0.02688653953373432,0.0044810897670686245,0.04481089860200882
2020-10,0.3359649122807017,0.3975,0.1911764705882352,-0.1043859649122807,-0.18,0.0735294117647058,57.0,40.0,17.0,21.72,21.74,19.1764495,19.27698894,306.0,732.0,271.4293548387097,76.08316802978516,42.68144226074219,0.008436326868832111,0.0,0.008436326868832111,0.008436326868832111,0.008436326868832111
2020-11,0.3193548387096774,0.2435483870967741,0.4709677419354838,0.0032258064516129,0.0709677419354838,-0.132258064516129,93.0,62.0,31.0,21.55,22.56,18.94716032,20.22061722,328.0,856.0,264.6863333333333,70.06746673583984,62.31394577026367,0.009177259169518948,0.0,0.013765888288617134,0.018354518339037895,0.027531776577234268
2020-12,0.3316483516483516,0.3236986301369863,0.3638888888888889,0.0032967032967032,0.0027397260273972,0.0055555555555555,91.0,73.0,18.0,22.63,24.07,20.16082251,21.71607836,327.0,529.0,238.67387096774195,64.06729125976562,31.744428634643555,0.0,0.023607175797224045,0.014164306223392487,0.004721435252577066,0.0330500453710556
2021-01,0.3125,0.2941489361702128,0.3909090909090909,0.0357758620689655,0.0643617021276595,-0.0863636363636363,116.0,94.0,22.0,23.84,24.74,21.40965088,22.54442221,261.0,633.0,216.06225806451613,77.418701171875,48.2874870300293,0.0,0.013269051909446716,0.004423017613589764,0.03980715572834015,0.022115087136626244
2021-02,0.3595505617977528,0.3361538461538462,0.4229166666666666,-0.0730337078651685,-0.0146153846153846,-0.2312499999999999,89.0,65.0,24.0,25.39,26.31,22.73951668,24.05182404,188.0,471.0,154.39642857142857,73.95680236816406,46.326778411865234,0.140150785446167,0.05799342691898346,0.043495070189237595,0.06765899807214737,0.02899671345949173
2021-03,0.4097701149425287,0.3682539682539682,0.5187499999999999,-0.0720689655172413,-0.036031746031746,-0.1666666666666666,87.0,63.0,24.0,26.54,26.83,24.07718563,24.59629236,167.0,375.0,176.70193548387098,78.61876678466797,49.41804122924805,0.10480349510908127,0.04803493618965149,0.026200873777270317,0.008733624592423439,0.030567685142159462
2021-04,0.28875,0.29765625,0.253125,0.021875,0.04765625,-0.08125,80.0,64.0,16.0,26.79,26.63,24.36994707,24.33292712,141.0,351.0,122.48066666666666,88.16622161865234,67.87379455566406,0.03724568337202072,0.04190139099955559,0.06983565539121628,0.09776991605758667,0.04655710235238075
