Date,Thailand_all,Thailand_initiator,Thailand_respondent,Thailand_spillover
01-07-98,0.408,0,0,0.408
01-08-98,0.4184,0,0.1395,0.2789
01-09-98,0.6604,0.1651,0,0.4953
01-10-98,0,0,0,0
01-11-98,0,0,0,0
01-12-98,0,0,0,0
01-01-99,0,0,0,0
01-02-99,0,0,0,0
01-03-99,0,0,0,0
01-04-99,0,0,0,0
01-05-99,0.1283,0,0,0.1283
01-06-99,0,0,0,0
01-07-99,0,0,0,0
01-08-99,0,0,0,0
01-09-99,0.3141,0,0,0.3141
01-10-99,1.1299,0.3228,0.1614,0.6457
01-11-99,0.2112,0,0.2112,0
01-12-99,0,0,0,0
01-01-00,1.9324,0.3513,1.054,0.527
01-02-00,0.1624,0,0.1624,0
01-03-00,0,0,0,0
01-04-00,0,0,0,0
01-05-00,0,0,0,0
01-06-00,0,0,0,0
01-07-00,0,0,0,0
01-08-00,0,0,0,0
01-09-00,0,0,0,0
01-10-00,0,0,0,0
01-11-00,0,0,0,0
01-12-00,0.1795,0,0,0.1795
01-01-01,0,0,0,0
01-02-01,0.3712,0,0,0.3712
01-03-01,0.3037,0.1518,0.1518,0
01-04-01,0,0,0,0
01-05-01,0.1548,0,0,0.1548
01-06-01,0,0,0,0
01-07-01,0,0,0,0
01-08-01,0,0,0,0
01-09-01,0.1128,0,0,0.1128
01-10-01,0,0,0,0
01-11-01,0,0,0,0
01-12-01,0,0,0,0
01-01-02,0,0,0,0
01-02-02,0,0,0,0
01-03-02,0,0,0,0
01-04-02,0.1409,0,0,0.1409
01-05-02,0,0,0,0
01-06-02,0.587,0,0.4403,0.1468
01-07-02,0.1687,0,0,0.1687
01-08-02,0,0,0,0
01-09-02,0.1751,0,0,0.1751
01-10-02,0.4602,0,0.1151,0.3452
01-11-02,0.5807,0,0.3127,0.268
01-12-02,0.3824,0,0,0.3824
01-01-03,0.5924,0.3554,0.2369,0
01-02-03,0.1245,0,0,0.1245
01-03-03,0.101,0,0,0.101
01-04-03,0,0,0,0
01-05-03,0.301,0,0.1505,0.1505
01-06-03,1.401,0.1356,0.9942,0.2712
01-07-03,0.1535,0,0,0.1535
01-08-03,1.7665,0.1232,0.493,1.1502
01-09-03,0.4493,0,0.2995,0.1498
01-10-03,0.5687,0,0.1312,0.4375
01-11-03,0.1906,0,0,0.1906
01-12-03,0.6882,0,0,0.6882
01-01-04,0.9477,0.1579,0.7897,0
01-02-04,0.1438,0,0.1438,0
01-03-04,0.2576,0,0.2576,0
01-04-04,1.4731,0.6138,0.7366,0.1228
01-05-04,0.8697,0.7247,0.1449,0
01-06-04,0.284,0.284,0,0
01-07-04,0.5367,0,0.2147,0.322
01-08-04,0,0,0,0
01-09-04,0,0,0,0
01-10-04,2.3268,1.2318,1.095,0
01-11-04,1.1407,0.2852,0.8555,0
01-12-04,0.7771,0.1554,0.3108,0.3108
01-01-05,0,0,0,0
01-02-05,1.4041,0.54,0.864,0
01-03-05,0.1875,0.0938,0.0938,0
01-04-05,0.3306,0,0.3306,0
01-05-05,0.472,0,0.0944,0.3776
01-06-05,0.1906,0,0,0.1906
01-07-05,0.2452,0.0817,0.1635,0
01-08-05,0.6398,0.3656,0.1828,0.0914
01-09-05,0.0837,0.0837,0,0
01-10-05,0.4708,0,0.2649,0.206
01-11-05,0.7454,0,0.426,0.3195
01-12-05,0.4158,0.1386,0,0.2772
01-01-06,0,0,0,0
01-02-06,0.7077,0,0,0.7077
01-03-06,0,0,0,0
01-04-06,0.0963,0,0,0.0963
01-05-06,0.392,0.294,0.098,0
01-06-06,0.6023,0.4302,0.1721,0
01-07-06,0.0749,0,0,0.0749
01-08-06,0.5961,0.1703,0.4258,0
01-09-06,1.1278,0.6579,0.4699,0
01-10-06,0.8194,0.1639,0.2458,0.4097
01-11-06,0.6048,0.191,0.191,0.2228
01-12-06,0.2165,0.1083,0.1083,0
01-01-07,1.571,0.5891,0.8837,0.0982
01-02-07,0.6748,0.1065,0.5682,0
01-03-07,0.9525,0.3175,0.5292,0.1058
01-04-07,0.1174,0,0.1174,0
01-05-07,0.8684,0.4342,0.4342,0
01-06-07,0.6901,0.3944,0.1972,0.0986
01-07-07,0.3336,0,0.2224,0.1112
01-08-07,0.7333,0,0.3667,0.3667
01-09-07,0.5299,0,0.106,0.4239
01-10-07,1.0762,0,0,1.0762
01-11-07,0.6505,0,0,0.6505
01-12-07,0.6122,0,0,0.6122
01-01-08,0.585,0.234,0.234,0.117
01-02-08,0.2591,0.1296,0.1296,0
01-03-08,0.3331,0,0.111,0.222
01-04-08,0.1131,0,0,0.1131
01-05-08,0.7184,0,0,0.7184
01-06-08,0,0,0,0
01-07-08,0.6663,0.3998,0.2665,0
01-08-08,0,0,0,0
01-09-08,0.5438,0.1359,0.2719,0.1359
01-10-08,0.7075,0.7075,0,0
01-11-08,3.256,1.5572,1.5572,0.1416
01-12-08,0.766,0.1532,0.4596,0.1532
01-01-09,0.2743,0.2743,0,0
01-02-09,0,0,0,0
01-03-09,0,0,0,0
01-04-09,3.6841,2.1329,1.5512,0
01-05-09,0.5715,0.1905,0.1905,0.1905
01-06-09,0.7102,0,0.7102,0
01-07-09,0.2028,0,0,0.2028
01-08-09,0.4968,0,0.2129,0.2839
01-09-09,0.6024,0.4016,0,0.2008
01-10-09,0.3473,0,0,0.3473
01-11-09,0.2278,0.2278,0,0
01-12-09,1.8964,0.6321,0.6321,0.6321
01-01-10,0.2307,0,0,0.2307
01-02-10,0.4696,0,0.4696,0
01-03-10,0.2717,0.2717,0,0
01-04-10,4.2965,2.7801,1.5164,0
01-05-10,13.0278,7.4004,5.6274,0
01-06-10,0,0,0,0
01-07-10,1.2196,0.9757,0.2439,0
01-08-10,1.3516,0,0.5913,0.7603
01-09-10,0,0,0,0
01-10-10,0.4623,0,0,0.4623
01-11-10,1.7476,0,0.2913,1.4564
01-12-10,0.252,0.252,0,0
01-01-11,0,0,0,0
01-02-11,1.1907,1.1907,0,0
01-03-11,0.2105,0.2105,0,0
01-04-11,1.1035,1.1035,0,0
01-05-11,0.2232,0,0.2232,0
01-06-11,0,0,0,0
01-07-11,0,0,0,0
01-08-11,0,0,0,0
01-09-11,0,0,0,0
01-10-11,0.5143,0,0.5143,0
01-11-11,0,0,0,0
01-12-11,0.8266,0.2755,0.551,0
01-01-12,1.0458,0,0.5229,0.5229
01-02-12,1.4621,0,0,1.4621
01-03-12,0,0,0,0
01-04-12,0,0,0,0
01-05-12,0,0,0,0
01-06-12,0.2647,0,0,0.2647
01-07-12,0,0,0,0
01-08-12,0,0,0,0
01-09-12,0.2287,0.2287,0,0
01-10-12,0,0,0,0
01-11-12,0.4346,0,0,0.4346
01-12-12,0,0,0,0
01-01-13,0,0,0,0
01-02-13,0.2654,0,0.2654,0
01-03-13,0,0,0,0
01-04-13,0.2082,0,0,0.2082
01-05-13,0,0,0,0
01-06-13,0,0,0,0
01-07-13,0,0,0,0
01-08-13,0,0,0,0
01-09-13,0,0,0,0
01-10-13,0.261,0,0,0.261
01-11-13,0.2623,0,0.2623,0
01-12-13,0.9788,0.2447,0.4894,0.2447
01-01-14,1.3478,0.8985,0.4493,0
01-02-14,2.8104,2.0439,0.7665,0
01-03-14,0.3879,0,0.3879,0
01-04-14,0,0,0,0
01-05-14,1.2129,1.2129,0,0
01-06-14,0.219,0,0.219,0
01-07-14,0,0,0,0
01-08-14,0,0,0,0
01-09-14,0,0,0,0
01-10-14,0,0,0,0
01-11-14,0.2352,0,0,0.2352
01-12-14,0.2741,0,0.2741,0
01-01-15,0,0,0,0
01-02-15,0.2602,0,0,0.2602
